1,1,16.50,1
2,1,14.75,1
3,1,18.00,1
4,1,13.25,1
5,1,17.75,1
6,1,16.00,1
7,1,14.25,1
8,1,18.25,1
9,1,12.75,1
10,1,19.00,1
11,1,15.25,1
12,1,17.00,1
13,1,14.50,1
14,1,18.75,1
15,1,13.75,1
16,1,16.75,1
17,1,15.00,1
18,1,12.50,1
19,1,18.50,1
20,1,16.25,1
1,2,15.00,1
2,2,17.25,1
3,2,16.50,1
4,2,14.00,1
5,2,18.00,1
6,2,15.75,1
7,2,13.50,1
8,2,17.50,1
9,2,13.00,1
10,2,18.75,1
11,2,16.50,1
12,2,16.25,1
13,2,15.00,1
14,2,19.25,1
15,2,14.25,1
16,2,17.00,1
17,2,15.50,1
18,2,13.25,1
19,2,19.00,1
20,2,15.75,1
21,3,14.00,1
22,3,16.50,1
23,3,15.25,1
24,3,17.75,1
25,3,13.50,1
26,3,18.25,1
27,3,15.00,1
28,3,16.00,1
29,3,14.50,1
30,3,19.50,1
